id,invoice,purchaser,sponsor,product,total_cv,volume,transaction_date,amount_paid,credited,t_status,order_type,payment_type,phone,gift_card,coupon,ledger_payment
9865606,n,,"James Naxumtester",,0.00,0.0000,"2021-06-30 08:59:34",,,Approved,Wholesale,,,$0.00,,0.0000
9865610,k,"RCustomer Naxumtester","Admin Account",,0.00,0.0000,"2021-07-04 23:10:30",,,Approved,Wholesale,,2816470775,$0.00,,0.0000
9865615,d,"Client Champs Departments","Admin Account",,0.00,0.0000,"2021-06-29 07:56:52",,,Approved,Wholesale,,5498798440,$0.00,,0.0000
9865619,e,"Client Champ Department","Ben- Dixon",,0.00,0.0000,"2021-07-02 20:18:15",,,Approved,Wholesale,,,$0.00,,0.0000
9865620,y,"Chris Scappatura","Admin Account",,0.00,0.0000,"2021-06-27 22:38:59",,,Approved,Wholesale,,,$0.00,,0.0000
9865623,i,"Demo NxmTester","Master Account",,0.00,0.0000,"2021-06-28 13:44:07",,,Approved,Wholesale,,,$0.00,,0.0000
9865636,y,"Holding Account","Owner Admin",,0.00,0.0000,"2021-06-28 07:37:20",,,Approved,Wholesale,,5555555555,$0.00,,0.0000
9865638,e,,,,0.00,0.0000,"2021-07-02 08:38:52",,,Approved,Wholesale,,,$0.00,,0.0000
9865647,s,"Yen Naxumtester","Master Account",,0.00,0.0000,"2021-07-03 20:29:09",,,Approved,Wholesale,,,$0.00,,0.0000
9865648,k,,,,0.00,0.0000,"2021-07-03 09:00:45",,,Approved,Wholesale,,,$0.00,,0.0000
9865650,p,"RYan Masong","Master Account",,0.00,0.0000,"2021-07-01 12:03:58",,,Approved,Wholesale,,,$0.00,,0.0000
9865651,z,"James------ UX-james-----","Ben- Dixon",,0.00,0.0000,"2021-06-29 15:35:48",,,Approved,Wholesale,,1231231111,$0.00,,0.0000
9865652,b,"yen naxumtester","Ben- Dixon",,0.00,0.0000,"2021-07-03 20:26:05",,,Approved,Wholesale,,,$0.00,,0.0000
9865658,p,,,,0.00,0.0000,"2021-07-08 09:04:12",,,Approved,Wholesale,,,$0.00,,0.0000
9865659,z,"Anne Pangilan","Admin Account",,0.00,0.0000,"2021-06-27 21:09:24",,,Approved,Wholesale,,,$0.00,,0.0000
9865666,l,,"Master Account",,0.00,0.0000,"2021-06-28 08:23:51",,,Approved,Wholesale,,,$0.00,,0.0000
9865674,b,,"Master Account",,0.00,0.0000,"2021-06-27 08:26:00",,,Approved,Wholesale,,,$0.00,,0.0000
9865678,m,,,,0.00,0.0000,"2021-06-27 08:38:52",,,Approved,Wholesale,,,$0.00,,0.0000
9865683,t,,,,0.00,0.0000,"2021-06-29 08:59:34",,,Approved,Wholesale,,,$0.00,,0.0000
9865684,e,,"James Naxumtester",,0.00,0.0000,"2021-06-27 08:23:51",,,Approved,Wholesale,,,$0.00,,0.0000
9865687,s,,"James Naxumtester",,0.00,0.0000,"2021-06-27 08:26:00",,,Approved,Wholesale,,,$0.00,,0.0000
