payee_id,user_id,first_name,last_name,sponsor_id,commission_type,volume_calculated_from,payout,level,order_id,percent_payout,remarks
688,757,"Commission Sandra",Test,688,"Monthly Level Commission",54639.00,2731.95,1,9865774,5.00," 688 has earned a commission for order 9865774"
688,757,"Commission Sandra",Test,688,"Monthly Level Commission",120372.00,6018.60,1,9865777,5.00," 688 has earned a commission for order 9865777"
688,757,"Commission Sandra",Test,688,"Monthly Level Commission",445444.00,22272.20,1,9865779,5.00," 688 has earned a commission for order 9865779"
688,757,"Commission Sandra",Test,688,"Monthly Level Commission",76867.00,3843.35,1,9865782,5.00," 688 has earned a commission for order 9865782"
688,757,"Commission Sandra",Test,688,"Monthly Level Commission",313722.00,15686.10,1,9865787,5.00," 688 has earned a commission for order 9865787"
688,757,"Commission Sandra",Test,688,"Monthly Level Commission",68112.00,3405.60,1,9865789,5.00," 688 has earned a commission for order 9865789"
688,757,"Commission Sandra",Test,688,"Monthly Level Commission",100537.00,5026.85,1,9865790,5.00," 688 has earned a commission for order 9865790"
688,757,"Commission Sandra",Test,688,"Monthly Level Commission",42684.00,2134.20,1,9865791,5.00," 688 has earned a commission for order 9865791"
688,757,"Commission Sandra",Test,688,"Monthly Level Commission",177132.00,8856.60,1,9865794,5.00," 688 has earned a commission for order 9865794"
688,757,"Commission Sandra",Test,688,"Monthly Level Commission",168399.00,8419.95,1,9865797,5.00," 688 has earned a commission for order 9865797"
688,757,"Commission Sandra",Test,688,"Monthly Level Commission",270583.00,13529.15,1,9865798,5.00," 688 has earned a commission for order 9865798"
688,757,"Commission Sandra",Test,688,"Monthly Level Commission",86541.00,4327.05,1,9865799,5.00," 688 has earned a commission for order 9865799"
688,758,"Commission Malinda",Test,688,"Monthly Level Commission",188270.00,9413.50,1,9865773,5.00," 688 has earned a commission for order 9865773"
688,758,"Commission Malinda",Test,757,"Monthly Level Commission",181366.00,9068.30,1,9865776,5.00," 688 has earned a commission for order 9865776"
688,758,"Commission Malinda",Test,688,"Monthly Level Commission",255824.00,12791.20,1,9865783,5.00," 688 has earned a commission for order 9865783"
688,758,"Commission Malinda",Test,688,"Monthly Level Commission",40297.00,2014.85,1,9865785,5.00," 688 has earned a commission for order 9865785"
688,758,"Commission Malinda",Test,688,"Monthly Level Commission",191144.00,9557.20,1,9865786,5.00," 688 has earned a commission for order 9865786"
688,758,"Commission Malinda",Test,688,"Monthly Level Commission",205977.00,10298.85,1,9865792,5.00," 688 has earned a commission for order 9865792"
688,758,"Commission Malinda",Test,688,"Monthly Level Commission",325715.00,16285.75,1,9865795,5.00," 688 has earned a commission for order 9865795"
688,758,"Commission Malinda",Test,688,"Monthly Level Commission",215016.00,10750.80,1,9865796,5.00," 688 has earned a commission for order 9865796"
688,758,"Commission Malinda",Test,688,"Monthly Level Commission",52074.00,2603.70,1,9865800,5.00," 688 has earned a commission for order 9865800"
688,758,"Commission Malinda",Test,688,"Monthly Level Commission",332864.00,16643.20,1,9865801,5.00," 688 has earned a commission for order 9865801"
