payee_id,user_id,first_name,last_name,sponsor_id,commission_type,volume_calculated_from,payout,level,order_id,percent_payout,remarks
688,758,"Commission Malinda",Test,688,"Personal Sales Bonus",188270.00,9413.50,0,9865773,5.00," 688 has earned a commission for order 9865773"
688,757,"Commission Sandra",Test,688,"Personal Sales Bonus",54639.00,2731.95,0,9865774,5.00," 688 has earned a commission for order 9865774"
688,761,"Commission Annabelle",Test,688,"Personal Sales Bonus",34359.00,1717.95,0,9865775,5.00," 688 has earned a commission for order 9865775"
688,758,"Commission Malinda",Test,757,"Personal Sales Bonus",181366.00,9068.30,0,9865776,5.00," 688 has earned a commission for order 9865776"
688,757,"Commission Sandra",Test,688,"Personal Sales Bonus",120372.00,6018.60,0,9865777,5.00," 688 has earned a commission for order 9865777"
688,761,"Commission Annabelle",Test,688,"Personal Sales Bonus",52392.00,2619.60,0,9865778,5.00," 688 has earned a commission for order 9865778"
688,757,"Commission Sandra",Test,688,"Personal Sales Bonus",445444.00,22272.20,0,9865779,5.00," 688 has earned a commission for order 9865779"
688,761,"Commission Annabelle",Test,688,"Personal Sales Bonus",62859.00,3142.95,0,9865780,5.00," 688 has earned a commission for order 9865780"
688,761,"Commission Annabelle",Test,688,"Personal Sales Bonus",365306.00,18265.30,0,9865781,5.00," 688 has earned a commission for order 9865781"
688,758,"Commission Malinda",Test,688,"Personal Sales Bonus",255824.00,12791.20,0,9865783,5.00," 688 has earned a commission for order 9865783"
688,761,"Commission Annabelle",Test,688,"Personal Sales Bonus",64129.00,3206.45,0,9865784,5.00," 688 has earned a commission for order 9865784"
688,758,"Commission Malinda",Test,688,"Personal Sales Bonus",191144.00,9557.20,0,9865786,5.00," 688 has earned a commission for order 9865786"
688,757,"Commission Sandra",Test,688,"Personal Sales Bonus",313722.00,15686.10,0,9865787,5.00," 688 has earned a commission for order 9865787"
688,761,"Commission Annabelle",Test,688,"Personal Sales Bonus",78706.00,3935.30,0,9865788,5.00," 688 has earned a commission for order 9865788"
688,757,"Commission Sandra",Test,688,"Personal Sales Bonus",100537.00,5026.85,0,9865790,5.00," 688 has earned a commission for order 9865790"
688,757,"Commission Sandra",Test,688,"Personal Sales Bonus",42684.00,2134.20,0,9865791,5.00," 688 has earned a commission for order 9865791"
688,758,"Commission Malinda",Test,688,"Personal Sales Bonus",205977.00,10298.85,0,9865792,5.00," 688 has earned a commission for order 9865792"
688,761,"Commission Annabelle",Test,688,"Personal Sales Bonus",211417.00,10570.85,0,9865793,5.00," 688 has earned a commission for order 9865793"
688,757,"Commission Sandra",Test,688,"Personal Sales Bonus",177132.00,8856.60,0,9865794,5.00," 688 has earned a commission for order 9865794"
688,758,"Commission Malinda",Test,688,"Personal Sales Bonus",215016.00,10750.80,0,9865796,5.00," 688 has earned a commission for order 9865796"
688,757,"Commission Sandra",Test,688,"Personal Sales Bonus",168399.00,8419.95,0,9865797,5.00," 688 has earned a commission for order 9865797"
688,757,"Commission Sandra",Test,688,"Personal Sales Bonus",270583.00,13529.15,0,9865798,5.00," 688 has earned a commission for order 9865798"
688,757,"Commission Sandra",Test,688,"Personal Sales Bonus",86541.00,4327.05,0,9865799,5.00," 688 has earned a commission for order 9865799"
688,758,"Commission Malinda",Test,688,"Personal Sales Bonus",52074.00,2603.70,0,9865800,5.00," 688 has earned a commission for order 9865800"
688,758,"Commission Malinda",Test,688,"Personal Sales Bonus",332864.00,16643.20,0,9865801,5.00," 688 has earned a commission for order 9865801"
688,761,"Commission Annabelle",Test,688,"Personal Sales Bonus",273810.00,13690.50,0,9865802,5.00," 688 has earned a commission for order 9865802"
