payee_id,user_id,first_name,last_name,sponsor_id,commission_type,payout,volume_calculated_from,order_id,percent_payout,remarks
20,20,Ben-,Dixon,20,"Silver Start Up Program",50.0000,,,,"ID 20 Join Date: 2011-01-01 | Payout Type: Gift Card"
20,20,Ben-,Dixon,20,"Silver Start Up Program",50.0000,,,,"ID 20 Join Date: 2011-01-01 | Payout Type: Gift Card"
20,20,Ben-,Dixon,20,"Silver Start Up Program",50.0000,,,,"ID 20 Join Date: 2011-01-01 | Payout Type: Gift Card"
20,20,Ben-,Dixon,20,"Silver Start Up Program",50.0000,,,,"ID 20 Join Date: 2011-01-01 | Payout Type: Gift Card"
20,20,Ben-,Dixon,20,"Silver Start Up Program",50.0000,,,,"ID 20 Join Date: 2011-01-01 | Payout Type: Gift Card"
20,20,Ben-,Dixon,20,"Silver Start Up Program",50.0000,,,,"ID 20 Join Date: 2011-01-01 | Payout Type: Gift Card"
20,20,Ben-,Dixon,20,"Silver Start Up Program",50.0000,,,,"ID 20 Join Date: 2011-01-01 | Payout Type: Gift Card"
20,20,Ben-,Dixon,20,"Silver Start Up Program",50.0000,,,,"ID 20 Join Date: 2011-01-01 | Payout Type: Gift Card"
20,20,Ben-,Dixon,20,"Silver Start Up Program",50.0000,,,,"ID 20 Join Date: 2011-01-01 | Payout Type: Gift Card"
20,20,Ben-,Dixon,20,"Silver Start Up Program",50.0000,,,,"ID 20 Join Date: 2011-01-01 | Payout Type: Gift Card"
20,20,Ben-,Dixon,20,"Silver Start Up Program",50.0000,,,,"ID 20 Join Date: 2011-01-01 | Payout Type: Gift Card"
20,20,Ben-,Dixon,20,"Silver Start Up Program",50.0000,,,,"ID 20 Join Date: 2011-01-01 | Payout Type: Gift Card"
20,20,Ben-,Dixon,20,"Silver Start Up Program",50.0000,,,,"ID 20 Join Date: 2011-01-01 | Payout Type: Gift Card"
20,20,Ben-,Dixon,20,"Silver Start Up Program",50.0000,,,,"ID 20 Join Date: 2011-01-01 | Payout Type: Gift Card"
20,20,Ben-,Dixon,20,"Silver Start Up Program",50.0000,,,,"ID 20 Join Date: 2011-01-01 | Payout Type: Gift Card"
20,20,Ben-,Dixon,20,"Silver Start Up Program",50.0000,,,,"ID 20 Join Date: 2011-01-01 | Payout Type: Gift Card"
20,20,Ben-,Dixon,20,"Silver Start Up Program",50.0000,,,,"ID 20 Join Date: 2011-01-01 | Payout Type: Gift Card"
20,20,Ben-,Dixon,20,"Silver Start Up Program",50.0000,,,,"ID 20 Join Date: 2011-01-01 | Payout Type: Gift Card"
20,20,Ben-,Dixon,20,"Silver Start Up Program",50.0000,,,,"ID 20 Join Date: 2011-01-01 | Payout Type: Gift Card"
20,20,Ben-,Dixon,20,"Silver Start Up Program",50.0000,,,,"ID 20 Join Date: 2011-01-01 | Payout Type: Gift Card"
20,20,Ben-,Dixon,20,"Silver Start Up Program",50.0000,,,,"ID 20 Join Date: 2011-01-01 | Payout Type: Gift Card"
20,20,Ben-,Dixon,20,"Silver Start Up Program",50.0000,,,,"ID 20 Join Date: 2011-01-01 | Payout Type: Gift Card"
20,20,Ben-,Dixon,20,"Silver Start Up Program",50.0000,,,,"ID 20 Join Date: 2011-01-01 | Payout Type: Gift Card"
20,20,Ben-,Dixon,20,"Silver Start Up Program",50.0000,,,,"ID 20 Join Date: 2011-01-01 | Payout Type: Gift Card"
20,20,Ben-,Dixon,20,"Silver Start Up Program",50.0000,,,,"ID 20 Join Date: 2011-01-01 | Payout Type: Gift Card"
20,20,Ben-,Dixon,20,"Silver Start Up Program",50.0000,,,,"ID 20 Join Date: 2011-01-01 | Payout Type: Gift Card"
20,20,Ben-,Dixon,20,"Silver Start Up Program",50.0000,,,,"ID 20 Join Date: 2011-01-01 | Payout Type: Gift Card"
20,20,Ben-,Dixon,20,"Silver Start Up Program",50.0000,,,,"ID 20 Join Date: 2011-01-01 | Payout Type: Gift Card"
20,20,Ben-,Dixon,20,"Silver Start Up Program",50.0000,,,,"ID 20 Join Date: 2011-01-01 | Payout Type: Gift Card"
